Id,Density,Length,Width,Heigth,x,y,z,coef_fr,angle
14,,31,23,25.5,0,0,0,,11
15,,36.5,20.5,20.5,31,0,0,,
16,,15.5,15.5,15.5,31,0,20.5,,
10,,19.5,24.5,26,55.5,20.5,0,,
8,,36,13,24.5,18,23,0,,
9,,30.5,22.5,8.5,24.5,36,0,,
13,,22,22,15.5,24.5,36,8.5,,
4,,6,21,17.5,18,36,0,,
3,,40,11.5,10.5,13,23,24.5,,
2,,19.5,20,27,24.5,36,24,,
12,,20.5,10.5,15.5,10.5,12.5,25.5,,
5,,17.5,14.5,22.5,7,57.5,0,,
11,,15.5,15.5,23,55.5,45,0,,
6,,16.5,19.5,9.5,55.5,20.5,26,,
1,,10.5,13.5,15.5,46.5,0,20.5,,
7,,14.5,16,13,55.5,45,23,,
